Reference,Value,Footprint,Quantity,Description
"C1","C_Polarized","",1,""
"C2 C3 C4 C5 C6","C","",5,""
"D1","D_Schottky","",1,""
"F1","Fuse","",1,""
"J_ESP32_LEFT J_ESP32_RIGHT","Conn_01x15","",2,""
"J_ESTOP J_SERVO_PWR J_SRV_EN","Conn_01x02","",3,""
"J_GPIO_EXP","Conn_01x10","",1,""
"J_I2C_EXP J_UART","Conn_01x04","",2,""
"J_PCA9685_CTRL","Conn_01x06","",1,""
"J_VL53_1 J_VL53_2","Conn_01x05","",2,""
"LED1 LED2 LED3 LED4","LED","",4,""
"R1 R2 R3 R4 R5 R6 R7","R","",7,""
"TP1 TP2 TP3 TP4 TP5 TP6 TP7","TestPoint","",7,""
"U1","AMS1117-3.3","",1,""
