Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CP_Radial_D10.0mm_P5.00mm","CP_Radial_D10.0mm_P5.00mm",1.889764,-0.866142,0.000000,top
"C2","C_0805_2012Metric","C_0805_2012Metric",2.283465,-0.866142,0.000000,top
"C3","C_0603_1608Metric","C_0603_1608Metric",2.519685,-0.866142,0.000000,top
"C4","C_0603_1608Metric","C_0603_1608Metric",1.889764,-1.338583,0.000000,top
"C5","C_0603_1608Metric","C_0603_1608Metric",2.047244,-1.338583,0.000000,top
"C6","C_0603_1608Metric","C_0603_1608Metric",1.732283,-1.338583,0.000000,top
"D1","D_SMA","D_SMA",2.283465,-0.629921,0.000000,top
"F1","Fuse_1206_3216Metric","Fuse_1206_3216Metric",2.283465,-0.393701,0.000000,top
"J_ESP32_LEFT","PinSocket_1x15_P2.54mm_Vertical","PinSocket_1x15_P2.54mm_Vertical",0.314961,-0.433071,0.000000,top
"J_ESP32_RIGHT","PinSocket_1x15_P2.54mm_Vertical","PinSocket_1x15_P2.54mm_Vertical",1.314961,-0.433071,0.000000,top
"J_ESTOP","PinHeader_1x02_P2.54mm_Vertical","PinHeader_1x02_P2.54mm_Vertical",1.771654,-2.440945,0.000000,top
"J_GPIO_EXP","PinHeader_1x10_P2.54mm_Vertical","PinHeader_1x10_P2.54mm_Vertical",2.204724,-1.889764,0.000000,top
"J_I2C_EXP","PinSocket_1x04_P2.54mm_Vertical","PinSocket_1x04_P2.54mm_Vertical",1.259843,-2.204724,0.000000,top
"J_PCA9685_AUX","PinSocket_1x06_P2.54mm_Vertical","PinSocket_1x06_P2.54mm_Vertical",3.307087,-2.480315,90.000000,top
"J_PCA9685_CTRL","PinSocket_1x06_P2.54mm_Vertical","PinSocket_1x06_P2.54mm_Vertical",3.307087,-0.629921,90.000000,top
"J_SERVO_PWR","AMASS_XT30U-F_1x02_P5.0mm_Vertical","AMASS_XT30U-F_1x02_P5.0mm_Vertical",1.889764,-0.393701,0.000000,top
"J_SRV_EN","PinHeader_1x02_P2.54mm_Vertical","PinHeader_1x02_P2.54mm_Vertical",2.047244,-2.440945,0.000000,top
"J_UART","PinHeader_1x04_P2.54mm_Vertical","PinHeader_1x04_P2.54mm_Vertical",1.771654,-1.889764,0.000000,top
"J_VL53_1","PinSocket_1x05_P2.54mm_Vertical","PinSocket_1x05_P2.54mm_Vertical",0.393701,-2.204724,0.000000,top
"J_VL53_2","PinSocket_1x05_P2.54mm_Vertical","PinSocket_1x05_P2.54mm_Vertical",0.748031,-2.204724,0.000000,top
"LED1","LED_0805_2012Metric","LED_0805_2012Metric",2.559055,-1.811024,0.000000,top
"LED2","LED_0805_2012Metric","LED_0805_2012Metric",2.559055,-2.047244,0.000000,top
"LED3","LED_0805_2012Metric","LED_0805_2012Metric",2.559055,-2.283465,0.000000,top
"LED4","LED_0805_2012Metric","LED_0805_2012Metric",2.559055,-2.519685,0.000000,top
"R1","R_0603_1608Metric","R_0603_1608Metric",1.023622,-2.125984,0.000000,top
"R2","R_0603_1608Metric","R_0603_1608Metric",1.023622,-2.283465,0.000000,top
"R3","R_0603_1608Metric","R_0603_1608Metric",2.559055,-1.929134,0.000000,top
"R4","R_0603_1608Metric","R_0603_1608Metric",2.559055,-2.165354,0.000000,top
"R5","R_0603_1608Metric","R_0603_1608Metric",2.559055,-2.401575,0.000000,top
"R6","R_0603_1608Metric","R_0603_1608Metric",2.559055,-2.637795,0.000000,top
"R7","R_0603_1608Metric","R_0603_1608Metric",2.283465,-2.440945,0.000000,top
"U1","SOT-223-3_TabPin2","SOT-223-3_TabPin2",2.283465,-1.220472,0.000000,top
